year,origin,HS2,rank_export_between_country,rank_export_within_country,details_description,rank_pci,quartile_pci
2016,afg,71,79.0,2.0,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles ; imitation jewellery; coin.",48.0,3_Average world cpi
2016,afg,13,10.0,3.0,"Lac; gums, resins and other vegetable saps and extracts.",79.0,5_Bottom world cpi
2016,afg,12,66.0,4.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",76.0,5_Bottom world cpi
2016,afg,27,128.0,5.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",62.0,4_Common World cpi
2016,afg,70,86.0,6.0,Glass and glassware.,20.0,2_Top world cpi
2016,afg,81,66.0,7.0,Other base metals; cermets; articles .,10.0,1_Highest world cpi
2016,afg,25,86.0,8.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",69.0,5_Bottom world cpi
2016,afg,72,95.0,9.0,Iron and steel.,21.0,2_Top world cpi
2016,afg,91,62.0,10.0,Clocks and watches and parts .,8.0,1_Highest world cpi
2016,afg,90,117.0,11.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories .",2.0,1_Highest world cpi
2016,afg,57,56.0,12.0,Carpets and other textile floor coverings.,71.0,5_Bottom world cpi
2016,afg,84,160.0,13.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts .",5.0,1_Highest world cpi
2016,afg,85,148.0,14.0,"Electrical machinery and equipment and parts ; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",13.0,1_Highest world cpi
2016,afg,41,92.0,15.0,Raw hides and skins (other than furskins) and leather.,87.0,6_Low world cpi
2016,afg,87,140.0,16.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories .",17.0,2_Top world cpi
2016,afg,39,145.0,17.0,Plastics and articles .,9.0,1_Highest world cpi
2016,afg,44,139.0,18.0,Wood and articles of wood; wood charcoal.,65.0,5_Bottom world cpi
2016,afg,51,84.0,19.0,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric.",58.0,4_Common World cpi
2016,afg,20,144.0,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants.",67.0,5_Bottom world cpi
2016,afg,14,62.0,21.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included.,95.0,6_Low world cpi
2016,afg,49,117.0,22.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",27.0,2_Top world cpi
2016,afg,88,138.0,23.0,"Aircraft, spacecraft, and parts .",16.0,1_Highest world cpi
2016,afg,73,160.0,24.0,Articles of iron or steel.,25.0,2_Top world cpi
2016,afg,59,88.0,25.0,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use.",11.0,1_Highest world cpi
2016,afg,62,148.0,26.0,"Articles of apparel and clothing accessories, not knitted or crocheted.",90.0,6_Low world cpi
2016,afg,61,141.0,27.0,"Articles of apparel and clothing accessories, knitted or crocheted.",93.0,6_Low world cpi
2016,afg,42,128.0,28.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",78.0,5_Bottom world cpi
2016,afg,10,145.0,29.0,Cereals.,68.0,5_Bottom world cpi
2016,afg,76,147.0,30.0,Aluminium and articles .,33.0,3_Average world cpi
2016,afg,30,186.0,31.0,Pharmaceutical products.,15.0,1_Highest world cpi
2016,afg,40,161.0,32.0,Rubber and articles .,29.0,2_Top world cpi
2016,afg,63,148.0,33.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,83.0,6_Low world cpi
2016,afg,50,101.0,34.0,Silk.,50.0,4_Common World cpi
2016,afg,68,132.0,35.0,"Articles of stone, plaster, cement, asbestos, mica or similar materials.",32.0,2_Top world cpi
2016,afg,82,143.0,36.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts  of base metal.",7.0,1_Highest world cpi
2016,afg,22,171.0,37.0,"Beverages, spirits and vinegar.",60.0,4_Common World cpi
2016,afg,54,120.0,38.0,Man-made filaments.,45.0,3_Average world cpi
2016,afg,48,155.0,39.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",26.0,2_Top world cpi
2016,afg,86,129.0,40.0,"Railway or tramway locomotives, rolling-stock and parts ; railway or tramway track fixtures and fittings and parts ; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.",4.0,1_Highest world cpi
2016,afg,38,155.0,41.0,Miscellaneous chemical products.,14.0,1_Highest world cpi
2016,afg,17,141.0,42.0,Sugars and sugar confectionery.,57.0,4_Common World cpi
2016,afg,47,110.0,43.0,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,22.0,2_Top world cpi
2016,afg,21,159.0,44.0,Miscellaneous edible preparations.,49.0,4_Common World cpi
2016,afg,19,158.0,45.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products.",63.0,4_Common World cpi
2016,afg,34,151.0,46.0,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",24.0,2_Top world cpi
2016,afg,64,158.0,47.0,"Footwear, gaiters and the like; parts of such articles.",80.0,5_Bottom world cpi
2016,afg,94,179.0,48.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",36.0,3_Average world cpi
2016,afg,33,170.0,49.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",43.0,3_Average world cpi
2016,afg,83,148.0,50.0,Miscellaneous articles of base metal.,23.0,2_Top world cpi
2016,afg,29,150.0,51.0,Organic chemicals.,3.0,1_Highest world cpi
2016,afg,69,138.0,52.0,Ceramic products.,34.0,3_Average world cpi
2016,afg,11,145.0,53.0,Products of the milling industry; malt; starches; inulin; wheat gluten.,56.0,4_Common World cpi
2016,afg,23,155.0,54.0,Residues and waste from the food industries; prepared animal fodder.,77.0,5_Bottom world cpi
2016,afg,95,160.0,55.0,"Toys, games and sports requisites; parts and accessories .",37.0,3_Average world cpi
2016,afg,55,131.0,56.0,Man-made staple fibres.,53.0,4_Common World cpi
2016,afg,32,164.0,57.0,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.",28.0,2_Top world cpi
2016,afg,89,159.0,58.0,"Ships, boats and floating structures.",41.0,3_Average world cpi
2016,afg,52,145.0,59.0,Cotton.,81.0,6_Low world cpi
2016,afg,28,160.0,60.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",31.0,2_Top world cpi
2016,afg,60,145.0,61.0,Knitted or crocheted fabrics.,52.0,4_Common World cpi
2016,afg,65,141.0,62.0,Headgear and parts .,86.0,6_Low world cpi
2016,afg,96,164.0,63.0,Miscellaneous manufactured articles.,39.0,3_Average world cpi
2016,afg,97,172.0,64.0,"Works of art, collectors' pieces and antiques.",55.0,4_Common World cpi
2016,afg,74,164.0,65.0,Copper and articles .,30.0,2_Top world cpi
2016,afg,92,140.0,66.0,Musical instruments; parts and accessories of such articles.,18.0,2_Top world cpi
2016,afg,58,135.0,67.0,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,61.0,4_Common World cpi
2016,afg,56,167.0,68.0,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles .",42.0,3_Average world cpi
2016,afg,46,133.0,69.0,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork.",96.0,6_Low world cpi
2016,ago,27,20.0,1.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",62.0,4_Common World cpi
2016,ago,71,39.0,2.0,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles ; imitation jewellery; coin.",48.0,3_Average world cpi
2016,ago,84,79.0,3.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts .",5.0,1_Highest world cpi
2016,ago,30,114.0,4.0,Pharmaceutical products.,15.0,1_Highest world cpi
2016,ago,76,93.0,5.0,Aluminium and articles .,33.0,3_Average world cpi
2016,ago,23,90.0,6.0,Residues and waste from the food industries; prepared animal fodder.,77.0,5_Bottom world cpi
2016,ago,25,109.0,7.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",69.0,5_Bottom world cpi
2016,ago,44,108.0,8.0,Wood and articles of wood; wood charcoal.,65.0,5_Bottom world cpi
2016,ago,73,106.0,9.0,Articles of iron or steel.,25.0,2_Top world cpi
2016,ago,90,138.0,10.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories .",2.0,1_Highest world cpi
2016,ago,87,124.0,11.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories .",17.0,2_Top world cpi
2016,ago,85,139.0,12.0,"Electrical machinery and equipment and parts ; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",13.0,1_Highest world cpi
2016,ago,74,108.0,13.0,Copper and articles .,30.0,2_Top world cpi
2016,ago,89,106.0,14.0,"Ships, boats and floating structures.",41.0,3_Average world cpi
2016,ago,70,130.0,15.0,Glass and glassware.,20.0,2_Top world cpi
2016,ago,72,132.0,16.0,Iron and steel.,21.0,2_Top world cpi
2016,ago,39,154.0,17.0,Plastics and articles .,9.0,1_Highest world cpi
2016,ago,82,109.0,18.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts  of base metal.",7.0,1_Highest world cpi
2016,ago,94,137.0,19.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",36.0,3_Average world cpi
2016,ago,40,144.0,20.0,Rubber and articles .,29.0,2_Top world cpi
2016,ago,22,150.0,21.0,"Beverages, spirits and vinegar.",60.0,4_Common World cpi
2016,ago,91,116.0,22.0,Clocks and watches and parts .,8.0,1_Highest world cpi
2016,ago,95,123.0,23.0,"Toys, games and sports requisites; parts and accessories .",37.0,3_Average world cpi
2016,ago,68,119.0,24.0,"Articles of stone, plaster, cement, asbestos, mica or similar materials.",32.0,2_Top world cpi
2016,ago,38,135.0,25.0,Miscellaneous chemical products.,14.0,1_Highest world cpi
2016,ago,86,113.0,26.0,"Railway or tramway locomotives, rolling-stock and parts ; railway or tramway track fixtures and fittings and parts ; mechanical (including electro-mechanical) traffic signalling equipment of all kinds.",4.0,1_Highest world cpi
2016,ago,49,136.0,27.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",27.0,2_Top world cpi
2016,ago,61,143.0,28.0,"Articles of apparel and clothing accessories, knitted or crocheted.",93.0,6_Low world cpi
2016,ago,24,130.0,29.0,Tobacco and manufactured tobacco substitutes.,85.0,6_Low world cpi
2016,ago,88,157.0,30.0,"Aircraft, spacecraft, and parts .",16.0,1_Highest world cpi
2016,ago,28,140.0,31.0,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.",31.0,2_Top world cpi
2016,ago,10,150.0,32.0,Cereals.,68.0,5_Bottom world cpi
2016,ago,83,133.0,33.0,Miscellaneous articles of base metal.,23.0,2_Top world cpi
2016,ago,13,114.0,34.0,"Lac; gums, resins and other vegetable saps and extracts.",79.0,5_Bottom world cpi
2016,ago,64,150.0,35.0,"Footwear, gaiters and the like; parts of such articles.",80.0,5_Bottom world cpi
2016,ago,63,157.0,36.0,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,83.0,6_Low world cpi
2016,ago,97,147.0,37.0,"Works of art, collectors' pieces and antiques.",55.0,4_Common World cpi
2016,ago,42,139.0,38.0,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",78.0,5_Bottom world cpi
2016,ago,62,157.0,39.0,"Articles of apparel and clothing accessories, not knitted or crocheted.",90.0,6_Low world cpi
2016,ago,48,157.0,40.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",26.0,2_Top world cpi
2016,ago,69,127.0,41.0,Ceramic products.,34.0,3_Average world cpi
2016,ago,33,169.0,42.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",43.0,3_Average world cpi
2016,ago,31,129.0,43.0,Fertilisers.,64.0,4_Common World cpi
2016,ago,15,157.0,44.0,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.,70.0,5_Bottom world cpi
2016,ago,12,157.0,45.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",76.0,5_Bottom world cpi
2016,ago,56,139.0,46.0,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles .",42.0,3_Average world cpi
2016,ago,29,155.0,47.0,Organic chemicals.,3.0,1_Highest world cpi
2016,ago,65,129.0,48.0,Headgear and parts .,86.0,6_Low world cpi
2016,ago,20,180.0,49.0,"Preparations of vegetables, fruit, nuts or other parts of plants.",67.0,5_Bottom world cpi
2016,ago,80,170.0,50.0,Tin and articles .,40.0,3_Average world cpi
2016,ago,96,153.0,51.0,Miscellaneous manufactured articles.,39.0,3_Average world cpi
2016,ago,57,133.0,52.0,Carpets and other textile floor coverings.,71.0,5_Bottom world cpi
2016,ago,92,122.0,53.0,Musical instruments; parts and accessories of such articles.,18.0,2_Top world cpi
2016,ago,67,116.0,54.0,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair.,92.0,6_Low world cpi
2016,ago,21,183.0,55.0,Miscellaneous edible preparations.,49.0,4_Common World cpi
2016,ago,75,94.0,56.0,Nickel and articles .,6.0,1_Highest world cpi
2016,ago,41,136.0,57.0,Raw hides and skins (other than furskins) and leather.,87.0,6_Low world cpi
2016,ago,35,153.0,58.0,Albuminoidal substances; modified starches; glues; enzymes.,12.0,1_Highest world cpi
2016,ago,32,179.0,59.0,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.",28.0,2_Top world cpi
2016,ago,58,134.0,60.0,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery.,61.0,4_Common World cpi
2016,ago,34,188.0,61.0,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",24.0,2_Top world cpi
2016,ago,81,165.0,62.0,Other base metals; cermets; articles .,10.0,1_Highest world cpi
2016,ago,52,153.0,63.0,Cotton.,81.0,6_Low world cpi
2016,aia,22,136.0,1.0,"Beverages, spirits and vinegar.",60.0,4_Common World cpi
2016,aia,85,176.0,2.0,"Electrical machinery and equipment and parts ; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",13.0,1_Highest world cpi
2016,aia,25,139.0,3.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",69.0,5_Bottom world cpi
2016,aia,84,204.0,4.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts .",5.0,1_Highest world cpi
2016,aia,33,161.0,5.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations.",43.0,3_Average world cpi
2016,aia,39,176.0,6.0,Plastics and articles .,9.0,1_Highest world cpi
2016,aia,87,187.0,7.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories .",17.0,2_Top world cpi
2016,aia,95,145.0,8.0,"Toys, games and sports requisites; parts and accessories .",37.0,3_Average world cpi
2016,aia,30,201.0,9.0,Pharmaceutical products.,15.0,1_Highest world cpi
2016,aia,49,172.0,10.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans.",27.0,2_Top world cpi
2016,aia,73,197.0,11.0,Articles of iron or steel.,25.0,2_Top world cpi
2016,aia,82,173.0,12.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts  of base metal.",7.0,1_Highest world cpi
2016,aia,94,189.0,13.0,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",36.0,3_Average world cpi
2016,aia,34,168.0,14.0,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster.",24.0,2_Top world cpi
2016,aia,40,183.0,15.0,Rubber and articles .,29.0,2_Top world cpi
2016,aia,76,175.0,16.0,Aluminium and articles .,33.0,3_Average world cpi
2016,aia,90,210.0,17.0,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories .",2.0,1_Highest world cpi
2016,aia,44,180.0,18.0,Wood and articles of wood; wood charcoal.,65.0,5_Bottom world cpi
2016,aia,66,98.0,19.0,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts .",51.0,4_Common World cpi
2016,aia,20,185.0,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants.",67.0,5_Bottom world cpi
2016,aia,19,180.0,21.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products.",63.0,4_Common World cpi
2016,aia,83,182.0,22.0,Miscellaneous articles of base metal.,23.0,2_Top world cpi
2016,aia,96,163.0,23.0,Miscellaneous manufactured articles.,39.0,3_Average world cpi
2016,aia,62,198.0,24.0,"Articles of apparel and clothing accessories, not knitted or crocheted.",90.0,6_Low world cpi
2016,aia,17,165.0,25.0,Sugars and sugar confectionery.,57.0,4_Common World cpi
2016,aia,69,180.0,26.0,Ceramic products.,34.0,3_Average world cpi
2016,aia,61,197.0,27.0,"Articles of apparel and clothing accessories, knitted or crocheted.",93.0,6_Low world cpi
2016,aia,23,169.0,28.0,Residues and waste from the food industries; prepared animal fodder.,77.0,5_Bottom world cpi
2016,aia,18,170.0,29.0,Cocoa and cocoa preparations.,84.0,6_Low world cpi
2016,aia,31,153.0,30.0,Fertilisers.,64.0,4_Common World cpi
2016,alb,64,28.0,1.0,"Footwear, gaiters and the like; parts of such articles.",80.0,5_Bottom world cpi
2016,alb,27,91.0,2.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes.",62.0,4_Common World cpi
2016,alb,62,58.0,3.0,"Articles of apparel and clothing accessories, not knitted or crocheted.",90.0,6_Low world cpi
2016,alb,61,61.0,4.0,"Articles of apparel and clothing accessories, knitted or crocheted.",93.0,6_Low world cpi
2016,alb,85,93.0,5.0,"Electrical machinery and equipment and parts ; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",13.0,1_Highest world cpi
2016,alb,76,83.0,6.0,Aluminium and articles .,33.0,3_Average world cpi
2016,alb,48,80.0,7.0,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",26.0,2_Top world cpi
2016,alb,70,82.0,8.0,Glass and glassware.,20.0,2_Top world cpi
2016,alb,25,81.0,9.0,"Salt; sulphur; earths and stone; plastering materials, lime and cement.",69.0,5_Bottom world cpi
2016,alb,87,89.0,10.0,"Vehicles other than railway or tramway rolling-stock, and parts and accessories .",17.0,2_Top world cpi
2016,alb,12,76.0,11.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder.",76.0,5_Bottom world cpi
2016,alb,73,86.0,12.0,Articles of iron or steel.,25.0,2_Top world cpi
2016,alb,83,59.0,13.0,Miscellaneous articles of base metal.,23.0,2_Top world cpi
2016,alb,30,117.0,14.0,Pharmaceutical products.,15.0,1_Highest world cpi
2016,alb,16,75.0,15.0,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates.",54.0,4_Common World cpi
2016,alb,84,111.0,16.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts .",5.0,1_Highest world cpi
2016,alb,72,93.0,17.0,Iron and steel.,21.0,2_Top world cpi
