"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031.56989335538","1280.21129054414","2459.58467645299","3330.04321731699","3851.52722914503","4211.57947156753","4434.26553598821","4623.75355449232","4862.98020529121","5052.89590757101","5358.22856080483","5827.19507712487","6146.22137295514","6515.54504504505","6888.10922736455","6711.66037333971","6814.71804505218","6942.02444383299","6961.72386382326","7210.66912917313","7373.32536549335","7664.75959435073","7948.78264885055","8224.96440707302","",
"Belarus","BLR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3967.85646115728","3918.31953932035","3534.53282504026","3258.57200862033","2880.69509755293","2589.45833376147","2670.87143363372","2987.99697327066","3254.42907211434","3379.26320800013","3592.14450669735","3781.23111915301","3997.36939987832","4308.96106793289","4835.19802907575","5325.95937840795","5894.53678672278","6430.90780301062","7111.38178201127","7141.50923053215","7711.54943800607","8141.26672670991","8286.21072756655","8368.03244285837","8504.84737418111","8166.1291668704","7949.83210079551","8136.93911625889","",
"Belize","BLZ","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","1879.82924921794","1916.84951902263","1955.2811550152","1995.23581326624","2035.94776314896","2074.93003137987","2109.74603784283","2147.70081283498","2238.99070316472","2290.17784523021","2342.89911770965","2384.70427027157","2579.65788438852","2672.65224991106","2988.53450311103","3050.53504427435","3006.91839256513","3159.20694362321","3360.96139315655","3553.76455185591","3951.57277005978","3903.99802891875","3798.52710353719","3614.01696470821","3581.28873350732","3517.21887820868","3576.11681674713","3852.07274748677","4117.88742537443","4540.94893003394","4950.4185710324","5414.75257160198","5968.09954867562","6236.75512104283","6120.93973442288","6002.94303812759","5897.39137759973","5887.92045341733","5877.98718104601","6160.16458460586","6728.84742130481","6853.80847425721","7006.27445596211","7462.74960056478","7612.77812589419","7610.88616442563","7755.08534911796","7639.55336168387","7686.39230480297","7546.57995916274","7615.63083007885","7601.08204330603","7649.8905557156","7547.39308677702","7658.88783999727","7754.3012847632","7547.6623773007","7498.25238002461","",
"Bermuda","BMU","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","25406.4698252725","25952.524659811","26472.6054570987","26138.8508350901","28330.1685208344","28967.8178468004","32544.0266318863","36155.3310424404","36219.9582478792","36770.8409016426","38381.1616297436","39991.3603176209","41016.768381417","41934.8077518271","42619.5307774101","44559.2613496245","48359.7225656711","51019.902061073","51567.9728170149","52479.8178882528","55747.2858178489","56680.6266915168","53298.5165736118","53901.6682439871","53687.9141773302","52173.0635488137","55181.8659937576","56789.0119664264","58588.1390436372","58354.118756238","57888.1835611941","56130.7662407838","56505.0759561533","57893.8386384824","57838.4355508058","59952.293105587","61119.533132254","63542.1426263121","65537.1290149829","67375.9196009285","73000.6792489447","77432.8202995008","75793.77543235","77867.698381366","79156.463759021","79962.3406178882","83912.6977976846","85815.3125385279","86612.581005929","81582.1195685295","80501.6583747927","78488.2287342792","74423.9482700083","72328.4564852848","","","","","",
"Bolivia","BOL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","1650.83028743791","1653.37487596827","1712.28480746259","1793.49372684982","1828.26621483684","1880.52613880475","1975.5368939571","2058.47070015844","2189.12936812465","2240.68177136465","2309.65012501714","2376.58608091356","2512.6932640146","2601.29561694151","2621.13972664621","2752.63966311802","2817.46834748174","2893.19796780235","2888.21569604745","2829.24510559993","2730.3020354857","2679.33568165412","2519.29314287027","2366.84826743804","2313.37149839553","2228.4310679299","2127.79467876785","2137.43632373314","2156.90071588844","2195.27621854737","2252.41925462396","2324.83434801268","2316.99297236973","2368.7094479177","2430.79483494838","2494.79443784977","2552.75017904246","2626.99770228266","2705.69844911462","2665.29348704928","2680.76417421067","2675.57634873696","2692.33874299476","2716.03589840212","2779.74821083704","2852.50118652216","2938.48233834956","3021.15089598583","3153.98784669143","3206.78974393027","3285.42901050408","3401.49853998817","3519.62554170308","3700.53779404061","3842.78971751893","3968.37013232532","4075.56823264617","4183.63856817112","",
"Brazil","BRA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","6026.01640154722","6453.60423155286","6593.23511596574","6458.53380258799","6493.05787056363","6504.65303794121","6589.9560218857","6729.35819260124","7302.45651085116","7808.36513470767","8280.06392084111","8988.79308079356","9829.33633903387","10936.7994404075","11643.6522463721","11960.7232436189","12821.8239161429","13096.9615901365","13203.2260809011","13767.2411739153","14672.2964058674","13702.9680507655","13465.8436915181","12712.773623382","13088.5377671935","13829.0870192256","14629.3837469631","14858.3867701806","14561.9338300097","14763.6511975942","14050.8275358101","14016.9597019056","13717.9377169315","14123.2163489005","14637.002227076","15039.4386573492","15127.5396182359","15395.4276786266","15209.1871677597","15051.5668471183","15444.5283731885","15441.1266705432","15700.6787344446","15676.793285466","16377.9621047291","16704.4565969789","17173.0188708333","18021.7147751274","18747.5647640682","18539.818753116","19745.5318627001","20337.0886661017","20536.4971263896","20961.6016815894","20881.9650787105","19969.6744641812","19120.135137867","19155.8978120142","",
"Barbados","BRB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","2618.01566090622","2552.66751749758","2648.78922099546","2730.47704032414","2849.34728354771","3060.23242573962","3181.17798202971","3108.89837205627","2946.72649414397","2953.81859043368","3050.63226655904","3074.74093871618","3221.20777763929","3292.56126485282","3394.22961624898","3503.84262578144","3376.29717252875","3232.99205817625","2996.7503737833","3022.93140344142","3126.33751870159","3178.22757483233","3292.0712034955","3435.16454700406","3550.28923306587","3548.98446389659","3694.31566776729","3595.32297689196","3613.5524793906","3681.06722300171","3721.4701326664","3856.44267159108","4059.78788462727","4114.79268513489","4102.49568186817","3923.22332746795","3918.17404647869","3929.42291723836","3926.70064101426","3914.21158263984","3902.81772147432","3926.57722796314","3994.44202725652","4024.17760106958","",
"Brunei Darussalam","BRN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","62204.7263537254","59892.0635116997","69160.2761793799","73835.8470701996","76018.5863166664","89993.1555612397","80980.9253979139","62934.0125446685","63506.0734106963","62016.9311196591","60647.5990596947","58071.0331741733","54914.0610117244","54449.6751142571","53507.8537008402","51448.0935454885","50547.3110883552","50671.124105245","51592.5500888806","50319.2517506593","50508.3782056817","51409.1200301489","51585.7928644334","49631.4509771246","48243.5515096077","48639.2354630404","48981.5583916745","49308.2204065072","50220.795002119","50725.4150525342","50111.4165157723","49529.3021103194","50996.3359891965","50446.5102010329","48895.6401020957","47467.1364768665","48088.0559457832","49211.5742373983","48948.3374525951","47202.9695649173","45423.4109943066","44534.4420441536","42856.1174963847","42868.3359930326","",
"Bhutan","BTN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","11566.8845864331","12824.2937342404","12933.8239183389","14044.9322955684","14290.438376091","14463.31633767","15632.1365270255","19415.0646335103","19719.9208155075","20666.8724788169","22615.1643463371","22522.7548186806","23814.2608532054","24677.6663729147","26231.2350557499","28175.5627072097","29491.2706390747","30519.392761095","31525.325783217","33102.7429274513","34417.9018374095","36219.223202171","38993.746196811","40835.2117465522","42105.1513239479","43980.5639019309","45903.184782544","52970.9977902579","54389.0434410443","56913.0725668969","62437.3832700466","66193.569296836","68400.0759661446","68770.107234225","71645.4031693043","75344.5324148512","80329.8715787231","83023.8481445252","",
"Botswana","BWA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","2083.650048041","2163.45456203734","2250.7468593421","2322.81530300538","2415.52258182263","2485.80686213768","2568.56900195733","2641.07231416054","2832.08734718761","3159.7385844071","3583.87931517819","4364.69395621445","5335.66444769027","6256.08175278981","6570.64898033526","6868.97268235978","7316.69477942076","7882.51323540294","8665.83989607422","9349.8873637942","10083.7668979322","10603.4411694179","11478.9511743312","12548.9170114383","13174.6034020909","13664.4287259254","14327.0321402662","15553.8726139234","18043.8519823816","19824.5486046831","20579.056790274","21508.0565753132","21540.9286642081","21382.9100022546","21610.2861631896","22591.954337981","23387.8408538334","24815.6638151969","24448.1844725612","26334.7259954043","26415.635812398","26080.5101043628","27274.6527576852","28150.6750671576","28517.4018356447","29390.7260384988","31369.1251317509","33430.0918714552","34935.1456135096","31715.4186461617","33833.5797517056","35241.9929616704","36143.3215192539","39502.2173288601","40381.1487093125","38965.5588433263","39905.3791561864","40109.2358337468","",
"Central African Republic","CAF","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","250600.59540754","258590.778216707","244599.177341759","238412.675790771","238742.455997961","236281.054539787","232992.747573364","238820.134725705","237104.521962647","248694.356719599","249418.032065244","247382.009419725","242730.028726786","242651.306947757","252980.859226503","248735.97928394","256522.361029963","260223.259701572","257061.513266973","244359.104380064","227144.587228559","217253.984899418","227046.473439378","202379.734751628","215293.61373418","217936.385253842","220482.005441638","205160.414104885","204439.586323235","204096.679463133","195154.399308792","189257.764815778","172455.518060396","168387.808207035","171965.651366264","179668.315752332","168312.02789668","173126.387246614","177228.736985338","179657.435805933","171523.675454449","175571.335860861","178410.24134433","165641.509268108","172394.77035469","170889.384700732","175895.898811878","180814.116656532","181573.282557637","182209.375986268","185891.053776252","190841.555237276","198059.378017538","125114.314370464","125974.887673097","131129.75957414","135624.093848002","139498.785167887","",
