Year,Country,Country ID,ECI,ECI+
2014,Ethiopia,afeth,-1.56239,-1.8107
2014,Ghana,afgha,-1.47184,-1.22961
2014,Guinea,afgin,-2.17828,-2.52561
2014,Kenya,afken,-0.51908,-0.934165
2014,Morocco,afmar,-0.559651,-0.432635
2014,Madagascar,afmdg,-0.820193,-0.588076
2014,Mozambique,afmoz,-1.2084,-1.27947
2014,Namibia,afnam,-0.381863,-0.378203
2014,Nigeria,afnga,-1.72001,-1.2984
2014,Sudan,afsdn,-1.84461,-3.18645
2014,Senegal,afsen,-0.721723,-1.11949
2014,Togo,aftgo,-0.462205,-1.26051
2014,Tunisia,aftun,0.214778,0.308588
2014,Tanzania,aftza,-1.03347,-1.22919
2014,South Africa,afzaf,-0.204966,0.248038
2014,Zambia,afzmb,-0.544915,-0.703199
2014,Zimbabwe,afzwe,-0.844104,-1.91256
2014,United Arab Emirates,asare,-0.362895,0.800072
2014,Azerbaijan,asaze,-1.7818,-0.733234
2014,China,aschn,1.16379,1.48186
2014,Georgia,asgeo,-0.457954,-0.392979
2014,Hong Kong,ashkg,1.35236,1.44879
2014,Indonesia,asidn,-0.102013,0.51172
2014,India,asind,-0.014696,0.851584
2014,Israel,asisr,1.14081,0.85479
2014,Jordan,asjor,-0.010019,-0.361365
2014,Japan,asjpn,2.31842,1.65392
2014,Kazakhstan,askaz,-1.00924,-0.250016
2014,Cambodia,askhm,-0.723043,-0.896952
2014,South Korea,askor,1.90646,1.41554
2014,Kuwait,askwt,-0.836979,-0.348
2014,Lebanon,aslbn,0.177455,0.034762
2014,Sri Lanka,aslka,-0.369437,-0.20391
2014,Mongolia,asmng,-1.55696,-2.93534
2014,Malaysia,asmys,0.828817,0.907908
2014,Oman,asomn,-0.774658,-0.583349
2014,Pakistan,aspak,-0.86519,0.037077
2014,Philippines,asphl,0.477815,0.65094
2014,Qatar,asqat,-0.264365,-0.605754
2014,Saudi Arabia,assau,-0.369927,0.37658
2014,Singapore,assgp,1.71171,1.26867
2014,Thailand,astha,0.955651,0.961017
2014,Turkey,astur,0.378481,0.659361
2014,Vietnam,asvnm,-0.129961,0.584925
2014,Albania,eualb,-0.542079,-0.409027
2014,Austria,euaut,1.64981,1.17686
2014,Belgium,eubel,0.90581,1.05802
2014,Bulgaria,eubgr,0.290812,0.391629
2014,Bosnia and Herzegovina,eubih,0.578374,0.163754
2014,Belarus,eublr,0.731427,0.709316
2014,Switzerland,euche,1.99456,1.36414
2014,Czech Republic,eucze,1.52129,1.17557
2014,Germany,eudeu,1.81367,1.30898
2014,Denmark,eudnk,0.95349,0.95159
2014,Spain,euesp,0.701443,0.818547
2014,Estonia,euest,0.752262,0.6084
2014,Finland,eufin,1.49895,0.866857
2014,France,eufra,1.15748,1.14391
2014,United Kingdom,eugbr,1.40296,1.15168
2014,Greece,eugrc,-0.167862,0.1344
2014,Croatia,euhrv,0.837178,0.513801
2014,Hungary,euhun,1.38229,1.11904
2014,Ireland,euirl,1.22044,1.08344
2014,Italy,euita,1.24155,1.19071
2014,Lithuania,eultu,0.63807,0.704803
2014,Latvia,eulva,0.431584,0.375092
2014,Moldova,eumda,-0.103664,0.029586
2014,Macedonia,eumkd,-0.216515,-0.089057
2014,Netherlands,eunld,0.756212,0.936041
2014,Norway,eunor,0.667969,0.33771
2014,Poland,eupol,0.839266,0.890026
