Year,Country,id_3char,ECI,rank_cpi
1965,Bolivia,bol,-0.708527,67.0
1965,Costa Rica,cri,0.50225,27.0
1965,Argentina,arg,-0.138631,42.0
1965,United States,usa,1.7897900000000002,8.0
1965,Trinidad and Tobago,tto,-0.46997700000000003,59.0
1965,El Salvador,slv,0.354408,29.0
1965,Panama,pan,0.925952,21.0
1965,Nicaragua,nic,-0.295313,52.0
1965,Mexico,mex,0.088726,37.0
1965,Jamaica,jam,-0.149621,45.0
1965,Honduras,hnd,-0.26032,51.0
1965,Guatemala,gtm,-0.009312,38.0
1965,New Zealand,nzl,0.276908,31.0
1965,Turkey,tur,-0.693839,66.0
1965,Canada,can,0.718737,22.0
1965,Syria,syr,-0.366523,56.0
1965,Tanzania,tza,-1.2793700000000001,91.0
1965,Tunisia,tun,-0.25883,50.0
1965,Togo,tgo,-1.16107,87.0
1965,Senegal,sen,-0.621901,63.0
1965,Sudan,sdn,-1.38004,93.0
1965,Nigeria,nga,-1.55156,94.0
1965,Mauritania,mrt,-0.389639,57.0
1965,Mozambique,moz,-1.02569,82.0
1965,Madagascar,mdg,-1.00486,81.0
1965,South Africa,zaf,-0.350745,55.0
1965,Morocco,mar,-0.127142,41.0
1965,Guinea,gin,-1.13762,85.0
1965,Ghana,gha,-0.7630020000000001,74.0
1965,Gabon,gab,-1.37709,92.0
1965,Ethiopia,eth,-0.742513,72.0
1965,Egypt,egy,-0.255621,49.0
1965,Algeria,dza,-0.24802600000000002,48.0
1965,Republic of the Congo,cog,-0.777529,76.0
1965,Cameroon,cmr,-1.26389,89.0
1965,Cote d'Ivoire,civ,-0.718535,68.0
1965,Kenya,ken,-0.9197299999999999,79.0
1965,Zambia,zmb,-0.774049,75.0
1965,Angola,ago,-1.21766,88.0
1965,Zimbabwe,zwe,-0.33373800000000003,54.0
1965,Singapore,sgp,0.273399,32.0
1965,Saudi Arabia,sau,-0.6763600000000001,65.0
1965,Qatar,qat,-0.149036,44.0
1965,Philippines,phl,-0.610326,62.0
1965,Pakistan,pak,-0.18629500000000002,46.0
1965,Oman,omn,-0.567293,61.0
1965,Malaysia,mys,-0.737625,71.0
1965,Burma,mmr,-1.0672,83.0
1965,Sri Lanka,lka,-1.14666,86.0
1965,Lebanon,lbn,0.099963,36.0
1965,Thailand,tha,-0.968943,80.0
1965,South Korea,kor,0.689753,23.0
1965,Kuwait,kwt,-0.804301,77.0
1965,Hong Kong,hkg,1.2314399999999999,15.0
1965,Indonesia,idn,-1.27578,90.0
1965,India,ind,-0.042813,39.0
1965,China,chn,0.523755,26.0
1965,Israel,isr,0.9899049999999999,18.0
1965,Jordan,jor,0.348411,30.0
1965,Japan,jpn,1.9352900000000002,6.0
1965,Cambodia,khm,-0.73646,70.0
1965,Iran,irn,-0.662454,64.0
1966,Greece,grc,0.232929,35.0
1966,Portugal,prt,0.851548,20.0
1966,Poland,pol,1.08374,17.0
1966,Norway,nor,1.4278,11.0
1966,Netherlands,nld,1.33897,13.0
1966,Italy,ita,1.7443400000000002,7.0
1966,Ireland,irl,1.01241,18.0
1966,Hungary,hun,1.23699,16.0
1966,United Kingdom,gbr,1.98672,5.0
1966,Germany,deu,2.2633900000000002,1.0
1966,Finland,fin,1.4211,12.0
1966,Spain,esp,0.603584,26.0
1966,Denmark,dnk,1.31681,14.0
1966,Romania,rou,0.319795,31.0
1966,Switzerland,che,2.12901,2.0
1966,Bulgaria,bgr,0.741352,24.0
1966,Belgium,bel,1.58396,10.0
1966,Austria,aut,1.99344,4.0
1966,Albania,alb,0.001056,43.0
1966,Vietnam,vnm,-0.284037,53.0
1966,France,fra,1.73585,9.0
1966,Sweden,swe,2.02008,3.0
1966,Jamaica,jam,-0.386714,57.0
1966,Costa Rica,cri,0.5446840000000001,27.0
1966,Turkey,tur,-0.715804,67.0
1966,Uruguay,ury,0.305691,32.0
1966,Paraguay,pry,-0.706845,66.0
1966,Peru,per,-0.566836,61.0
1966,Ecuador,ecu,-0.684339,64.0
1966,Colombia,col,0.11663399999999999,41.0
1966,Chile,chl,0.124412,39.0
1966,Brazil,bra,-0.8673069999999999,72.0
1966,Bolivia,bol,-0.781309,69.0
1966,Argentina,arg,-0.186694,46.0
1966,New Zealand,nzl,0.291451,33.0
1966,Australia,aus,0.24557199999999998,34.0
1966,Venezuela,ven,-0.253681,51.0
1966,Trinidad and Tobago,tto,-0.279269,52.0
1966,El Salvador,slv,0.336836,30.0
1966,Panama,pan,0.9310719999999999,19.0
1966,Nicaragua,nic,-0.196804,47.0
1966,Mexico,mex,0.220775,36.0
1966,Honduras,hnd,-0.29557,54.0
1966,Guatemala,gtm,0.121919,40.0
1966,Dominican Republic,dom,-0.666334,63.0
